Item_id,Category,Item_Name,Price,description,image,available
1,Breakfast,Idly,,morning,https://example.com/item.jpg,TRUE
2,Breakfast,Plain Dosai,,"morning, evening, night",https://example.com/item.jpg,TRUE
3,Breakfast,Egg Dosai,,"morning, evening, night",https://example.com/item.jpg,TRUE
4,Breakfast,Onion Uthappam,,"morning, evening, night",https://example.com/item.jpg,TRUE
5,Breakfast,Poori,,"morning, evening, night",https://example.com/item.jpg,TRUE
6,Breakfast,Chapati,,"morning, evening, night",https://example.com/item.jpg,TRUE
7,Breakfast,Plain Prata,,"evening, night",https://example.com/item.jpg,TRUE
8,Breakfast,Egg Prata,,"evening, night",https://example.com/item.jpg,TRUE
9,Breakfast,Onion Prata,,"evening, night",https://example.com/item.jpg,TRUE
10,Breakfast,Egg Bread Toast,,morning,https://example.com/item.jpg,TRUE
11,Breakfast,Raagi Kanchi,,morning,https://example.com/item.jpg,TRUE
12,Breakfast,Idiyappam,,anytime,https://example.com/item.jpg,TRUE
13,Breakfast,Puttu,,anytime,https://example.com/item.jpg,TRUE
14,Breakfast,Vadai,,"morning, evening",https://example.com/item.jpg,TRUE
15,Breakfast,Curry Puff,,"noon, night",https://example.com/item.jpg,TRUE
16,Breakfast,Potato Puff,,"morning, evening",https://example.com/item.jpg,TRUE
17,Breakfast,Pongal,,morning,https://example.com/item.jpg,TRUE
18,Breakfast,Lemon Rice,,"morning, noon",https://example.com/item.jpg,TRUE
19,Breakfast,Tomato Rice,,"morning, noon",https://example.com/item.jpg,TRUE
20,Breakfast,Curd Rice,,"morning, noon",https://example.com/item.jpg,TRUE
21,Breakfast,Bisibele Bath,,"morning, noon",https://example.com/item.jpg,TRUE
22,Breakfast,Ghee Rice,,"morning, noon",https://example.com/item.jpg,TRUE
23,Breakfast,Coconut Rice,,"morning, noon",https://example.com/item.jpg,TRUE
24,Breakfast,Briyani,,"noon, night",https://example.com/item.jpg,TRUE
25,Breakfast,Rice (plain),,"morning, noon",https://example.com/item.jpg,TRUE
26,Breakfast,Panipuri,,anytime,https://example.com/item.jpg,TRUE
27,Breakfast,Masalapuri,,"noon, night",https://example.com/item.jpg,TRUE
28,Breakfast,Egg Half Boiled,,anytime,https://example.com/item.jpg,TRUE
29,Breakfast,Egg Kalaki,,anytime,https://example.com/item.jpg,TRUE
30,Sides,Tiffen Sambar,,anytime,https://example.com/item.jpg,TRUE
31,Sides,Coconut Chutney,,anytime,https://example.com/item.jpg,TRUE
32,Sides,Peanut Chutney,,anytime,https://example.com/item.jpg,TRUE
33,Sides,Onion Chutney,,anytime,https://example.com/item.jpg,TRUE
34,Sides,Special Chutney,,anytime,https://example.com/item.jpg,TRUE
35,Sides,Potato Poori Masala,,"morning, evening, night",https://example.com/item.jpg,TRUE
36,Sides,Veg Chapati Kuruma,,"morning, evening, night",https://example.com/item.jpg,TRUE
37,Sides,Prata Salna,,"evening, night",https://example.com/item.jpg,TRUE
38,Sides,Achar / Raitha,,anytime,https://example.com/item.jpg,TRUE
39,Sides,Appalam,,anytime,https://example.com/item.jpg,TRUE
40,Sides,Rasam,,anytime,https://example.com/item.jpg,TRUE
41,Sides,Butter Milk,,anytime,https://example.com/item.jpg,TRUE
42,Sides,Veg Curry,,"noon, night",https://example.com/item.jpg,TRUE
43,Sides,Fish Curry,,"noon, night",https://example.com/item.jpg,TRUE
44,Sides,Chicken Curry,,"noon, night",https://example.com/item.jpg,TRUE
45,Sides,Mutton Bone Curry,,"noon, night",https://example.com/item.jpg,TRUE
46,Sides,Veg Koottu,,"noon, night",https://example.com/item.jpg,TRUE
47,Sides,Veg Fry / Veg Masala,,"noon, night",https://example.com/item.jpg,TRUE
48,Sides,Veg Poriyal,,"noon, night",https://example.com/item.jpg,TRUE
49,Sides,Keerai Dhall,,anytime,https://example.com/item.jpg,TRUE
